,url,year
890,outdoors.stackexchange.com,11
891,poker.stackexchange.com,11
892,sports.stackexchange.com,11
893,mathoverflow.net,0
894,stats.stackexchange.com,11
895,cstheory.stackexchange.com,11
896,physics.stackexchange.com,11
897,chemistry.stackexchange.com,11
898,biology.stackexchange.com,0
899,cs.stackexchange.com,11
900,philosophy.stackexchange.com,0
901,psychology.stackexchange.com,11
902,scicomp.stackexchange.com,11
903,stackapps.com,10
904,api.stackexchange.com,11
905,data.stackexchange.com,11
906,linkedin.com,0
907,creativecommons.org,19
908,zh.savefrom.net,0
909,sfrom.net,12
910,desktop.televzr.com,4
911,radionline.fm,7
912,converter.ummy.net,0
913,ar.savefrom.net,0
914,de.savefrom.net,0
915,en.savefrom.net,0
916,es.savefrom.net,0
917,fr.savefrom.net,0
918,hi.savefrom.net,0
919,id.savefrom.net,0
920,it.savefrom.net,0
921,ja.savefrom.net,0
922,ko.savefrom.net,0
923,pt.savefrom.net,0
924,ro.savefrom.net,0
925,ru.savefrom.net,0
926,th.savefrom.net,0
927,tr.savefrom.net,0
928,uk.savefrom.net,0
929,vi.savefrom.net,0
930,new.tudou.com,16
931,sc.youku.com,17
932,compaign.tudou.com,16
933,category.tudou.com,16
934,tudou.com,16
935,t.youku.com,17
936,os3.cs.tudou.com,16
937,video.tudou.com,16
938,www.youku.com,17
939,www.uc.cn,17
940,toutiao.uc.cn,17
941,www.aliwx.com.cn,6
942,www.alibabaplanet.com,4
943,www.alibabapictures.com,6
944,youxi.youku.com,17
945,www.jingguan.ai,0
946,terms.alicdn.com,12
947,gw.alicdn.com,12
948,r1.ykimg.com,11
949,cdn-large-file.youku.com,17
950,www.shjbzx.cn,7
951,csc.tudou.com,16
952,www.sgs.gov.cn,20
953,cn.indeed.com,0
954,employers.indeed.com,0
955,ads.indeed.com,0
956,www.indeed.com,0
957,tw.indeed.com,0
958,www.indeed.hk,0
959,www.indeed.com.sg,12
960,indeed.zendesk.com,0
961,hrtechprivacy.com,0
962,admin.salesforce.com,0
963,pages.mail.salesforce.com,0
964,salesforcesponsorship.com,0
965,trailblazer.me,3
966,salesforce.com,0
967,www.avito.ru,13
968,support.avito.ru,13
969,app.adjust.com,0
970,vk.com,23
971,ok.ru,22
972,it.blastingnews.com,8
973,br.blastingnews.com,8
974,fr.blastingnews.com,8
975,es.blastingnews.com,0
976,uk.blastingnews.com,8
977,us.blastingnews.com,8
978,www.newsguardtech.com,2
979,thetrustproject.org,0
980,newsinitiative.withgoogle.com,0
981,www.blastingnews.com,8
982,trello.com,16
983,www.atlassian.com,0
984,blog.trello.com,16
985,developers.trello.com,16
986,help.trello.com,16
987,www.chase.com,0
